Locus,Gene,Category,LocusGroup,Source,Comments
IGL,3-ADT,Functional,,Fig3,
IGL,2-AAG,Non-functional,,Fig3,
IGL,3-AAL,Non-functional,,Fig3,
IGL,3-AAT,Functional,,Fig3,
IGL,2-ACE,Functional,,Fig3,
IGL,3-AAI,Functional,,Fig3,
IGL,3-ADZ,Non-functional,,Fig3,
IGL,3-ABR,Non-functional,,Fig3,
IGL,2-ABP,Functional,,Fig3,
IGL,3-ABY,Functional,,Fig3,
IGL,3-AAN,Non-functional,,Fig3,
IGL,3-ACK,Non-functional,,Fig3,
IGL,2-ABI,Functional,,Fig3,
IGL,3-AAB,Functional,,Fig3,
IGL,3-AAZ,Non-functional,,Fig3,
IGL,3-AAU,Non-functional,,Fig3,
IGL,2-ADC,Functional,,Fig3,
IGL,3-AAH,Non-functional,,Fig3,
IGL,3-AAV,Functional,,Fig3,
IGL,2-ABV,Non-functional,,Fig3,
IGL,3-AEA,Non-functional,,Fig3,
IGL,2-AAD,Non-functional,,Fig3,
IGL,2-ADE,Non-functional,,Fig3,
IGL,7-ADJ,ORF,,Fig3,
IGL,7-ACL,Non-functional,,Fig3,
IGL,8-ADN,Non-functional,,Fig3,
IGL,5-ACJ,Non-functional,,Fig3,
IGL,2-ACD,Non-functional,,Fig3,
IGL,7-ABQ,Non-functional,,Fig3,
IGL,1-ABN,Functional,,Fig3,
IGL,5-ADQ,Functional,,Fig3,
IGL,1-ACV,Functional,,Fig3,
IGL,1-ABB,Functional,,Fig3,
IGL,1-ACR,Functional,,Fig3,
IGL,1-ADU,Functional,,Fig3,
IGL,5-ACY,Functional,,Fig3,
IGL,7-ABD,Functional,,Fig3,
IGL,1-ACW,Functional,,Fig3,
IGL,5-ABT,Functional,,Fig3,
IGL,2-AAA,Non-functional,,Fig3,
IGL,7-AAK,Functional,,Fig3,
IGL,1-ADL,Functional,,Fig3,
IGL,5-ACM,Non-functional,,Fig3,
IGL,7-ABO,Functional,,Fig3,
IGL,1-ADA,Functional,,Fig3,
IGL,5-AAX,Functional,,Fig3,
IGL,9-ACO,Non-functional,,Fig3,
IGL,1-ACN,Functional,,Fig3,
IGL,1-ABS,Functional,,Fig3,
IGL,5-AAP,Functional,,Fig3,
IGL,7-ADB,Functional,,Fig3,
IGL,5-AAQ,Non-functional,,Fig3,
IGL,2-ADI,Non-functional,,Fig3,
IGL,6-ADW,Functional,,Fig3,
IGL,5-ACG,Non-functional,,Fig3,
IGL,6-ACH,Non-functional,,Fig3,
IGL,5-ABL,Functional,,Fig3,
IGL,4-ACF,Functional,,Fig3,
IGL,7-ADF,Non-functional,,Fig3,
IGL,5-ABG,Functional,,Fig3,
IGL,1-ADS,Non-functional,,Fig3,
IGL,1-ACU,Non-functional,,Fig3,
IGL,5-AAM,Functional,,Fig3,
IGL,5-ACT,Non-functional,,Fig3,
IGL,4-AAF,Non-functional,,Fig3,
IGL,5-AAW,Non-functional,,Fig3,
IGL,6-ACX,Non-functional,,Fig3,
IGL,10-ADR,Non-functional,,Fig3,
IGL,1-AAS,Non-functional,,Fig3,
IGL,6-AAC,Functional,,Fig3,
IGL,6-ADD,Functional,,Fig3,
IGL,10-AAO,Functional,,Fig3,
IGL,11-AAY,Functional,,Fig3,
IGL,5-ABZ,Non-functional,,Fig3,
IGL,5-ADP,Non-functional,,Fig3,
IGL,5-ACQ,Non-functional,,Fig3,
IGL,5-AAE,Non-functional,,Fig3,
IGL,1-ACC,Non-functional,,Fig3,
IGL,1-ADV,Non-functional,,Fig3,
IGL,8-ABK,Functional,,Fig3,
IGL,9-ABW,Non-functional,,Fig3,
IGL,5-ADM,Non-functional,,Fig3,
